project_name,gen_node_code,owner,province,location,latitude,longitude,copper_balancing_area,operating_region,connecting_node_name,connecting_node_code,connecting_voltage_in_kv,start_year,prev_renewal_year,possible_renewal_year,closure_year,gen_type,gen_type_copper,installed_capacity_in_mw,capacity_adjustment_in_%,effective_capacity_in_mw,capacity_factor_in_%,annual_avg_energy_unit_gwh/y,num_of_gen_units_represented,total_num_of_gen_units,turbine_capacity_in_mw,project_area_km2,density_in_mw/km2,other_references,notes
Ardenville,AB_ARD01_GEN,TransAlta Corporation,Alberta,Fort Macleod,49.582924,-113.435077,alberta.a,Alberta,Ardenville Wind Farm 418S,AB_418S_GSS,138,2010,2010,2040,,wind_onshore,wind,68,0.09,6,0.33,196.57,23,23,3,30.7,2.21498,https://www.transalta.com/plants-operation/ardenville/,project area estimated
Blackspring Ridge,AB_BSR01_GEN,EDF/Enbridge,Alberta,Carmangay,50.152488,-112.822637,alberta.a,Alberta,Blackspring Ridge 485S,AB_485S_DSS,240,2014,2014,2044,,wind_onshore,wind,300,0.09,27,0.33,867.24,166,166,1.8,175.5,1.7094,https://www.edf-re.com/project/blackspring-ridge-wind/,
Blue Trail,AB_BTR01_GEN,TransAlta Corporation,Alberta,Fort Macleod,49.668667,-113.452164,alberta.a,Alberta,Blue Trail 528S,AB_528S_DSS,144,2009,2009,2039,,wind_onshore,wind,66,0.09,6,0.33,190.79,22,22,3,38,1.73684,https://transalta.com/plants-operation/blue-trail/,project area estimated
Buffalo Atlee,AB_BFA01_GEN,Capstone Infractructure,Alberta,Jenner,50.748609,-111.048864,alberta.a,Alberta,Jenner 275S,AB_275S_GSS,144,2023,2023,2053,,wind_onshore,wind,59,0.09,5,0.33,169.11,13,13,4.5,5.83,10.0343,https://buffaloatlee.com,includes all four phases
Bull Creek I,AB_BUL01_GEN,Bull Creek Wind Power Ltd.,Alberta,Chauvin,52.509074,-110.083104,alberta.a,Alberta,Hayter 277S,AB_277S_DSS,138,2014,2014,2044,,wind_onshore,wind,14,0.09,1,0.33,39.31,8,8,1.7,9.71,1.40062,http://bluearthrenewables.com/wp-content/uploads/2018/12/Bull_Creek_-_Project_Layout.pdf,AUC 3520
Bull Creek II,AB_BUL02_GEN,Bull Creek Wind Power Ltd.,Alberta,Chauvin,52.509074,-110.083104,alberta.a,Alberta,Hayter 277S,AB_277S_DSS,138,2014,2014,2044,,wind_onshore,wind,15,0.09,1,0.33,44.23,9,9,1.7,11.65,1.3133,http://bluearthrenewables.com/wp-content/uploads/2018/12/Bull_Creek_-_Project_Layout.pdf,AUC 3520
Bull Trail,AB_BLT01_GEN,EDF Renewables,Alberta,Irvine,49.813767,-110.205721,alberta.a,Alberta,Peace Butte 404S,AB_404S_DSS,144,2024,2024,2054,,wind_onshore,wind,270,0.09,24,0.33,780.52,49,49,5.5,88.83,3.03951,https://www.edf-re.com/project/bull-trail-wind/about/,AUC 26981
Castle River,AB_CRV01_GEN,TransAlta Corporation,Alberta,Pincher Creek,49.516,-114.027555,alberta.a,Alberta,Castle River 239S,AB_239S_GSS,138,2001,2001,2031,,wind_onshore,wind,44,0.09,4,0.33,127.2,60,60,0.66,16,2.75,https://www.transalta.com/plants-operation/castle-river/,project area estimated
Castlerock Ridge I,AB_CRR01_GEN,Enel,Alberta,Pincher Creek,49.556114,-113.962954,alberta.a,Alberta,Castle Rock Ridge 205S,AB_205S_GSS,240,2012,2012,2042,,wind_onshore,wind,76,0.09,7,0.33,220.28,33,33,2.3,7.23395,10.5337,https://www.enelgreenpower.com/our-projects/highlights/castle-rock-ridge-wind-farms,combines two phases
Castlerock Ridge II,AB_CRR02_GEN,Enel,Alberta,Pincher Creek,49.556114,-113.962954,alberta.a,Alberta,Castle Rock Ridge 205S,AB_205S_GSS,240,2019,2019,2049,,wind_onshore,wind,29,0.09,3,0.33,84.99,7,7,4.2,2.79105,10.5337,https://www.enelgreenpower.com/our-projects/highlights/castle-rock-ridge-wind-farms,combines two phases
Chin Chute Wind,AB_SCR03_GEN,Suncor/EHN/Enbridge,Alberta,Taber,49.693289,-112.329201,alberta.a,Alberta,Hillridge 139S,AB_139S_DSS,138,2004,2004,2034,,wind_onshore,wind,30,0.09,3,0.33,86.72,20,20,1.5,6,5,https://www.acciona.ca/projects/energy/wind-power/chin-chute-wind-farm/?_adin=02021864894,project area estimated
Cowley North,AB_CLN01_GEN,TransAlta Corporation,Alberta,Pincher Creek,49.561855,-114.107499,alberta.a,Alberta,Pincher Creek 396S,AB_396S_DSS,138,2001,2001,2031,,wind_onshore,wind,21,0.09,2,0.33,61.86,15,15,1.3,4,5.35,https://www.transaltarenewables.com/plants-operation/cowley-north/,project area estimated
Cypress,AB_CYP01_GEN,EDF Renewables,Alberta,Dunmore,49.844736,-110.522035,alberta.a,Alberta,Woolchester 1019S,AB_1019S_GSS,240,2023,2023,2053,,wind_onshore,wind,248,0.09,22,0.33,718.07,48,48,5.2,135,1.84,https://www.edf-re.com/project/cypress-wind/,AUC 24891
Forty Mile,AB_FML00_GEN,Suncor Energy Inc.,Alberta,Maleb,49.693588,-111.132816,alberta.a,Alberta,Whitla 251S,AB_251S_DSS,240,2023,2023,2053,,wind_onshore,wind,399,0.09,36,0.33,1151.98,111,111,3.6,162,2.45988,http://fortymilewind.com,
Garden Plain,AB_GDP01_GEN,TransAlta Corporation,Alberta,Castor,51.975318,-111.836553,alberta.a,Alberta,Garden Plain 1045S,AB_1045S_GSS,240,2023,2023,2053,,wind_onshore,wind,130,0.09,12,0.33,375.8,26,26,5,61,2.13115,https://www.transalta.com/plants-operation/garden-plain/,AUC 23651
Ghost Pine,AB_NEP01_GEN,Finavera,Alberta,Three Hills,51.872348,-113.318052,alberta.a,Alberta,Ghost Pine 114S,AB_114S_DSS,138,2010,2010,2040,,wind_onshore,wind,82,0.09,7,0.33,235.89,51,51,1.6,92.2,0.885033,https://www.nexteraenergycanada.com/content/dam/neecanada/ca/en/pdf/GhostPine.pdf,project area estimated
Halkirk,AB_HAL01_GEN,Halkirk I Wind Project LP,Alberta,Halkirk,52.260948,-112.027052,alberta.a,Alberta,Halkirk 615S,AB_615S_GSS,240,2012,2012,2042,,wind_onshore,wind,150,0.09,14,0.33,433.62,83,83,1.8,101.2,1.48221,https://www.capitalpower.com/operations/halkirk-wind/,AUC 585
Hand Hills,AB_HHL01_GEN,BluEarth Renewables,Alberta,Delia,51.564726,-112.25509,alberta.a,Alberta,Highland 572S,AB_572S_GEN,144,2023,2023,2053,,wind_onshore,wind,145,0.09,13,0.33,419.17,29,29,5,30,4.83333,https://bluearthrenewables.com/projects/handhills/,
Hilda,AB_HLD01_GEN,Renewable Energy Systems Canada Inc.,Alberta,Hilda,50.55718,-110.118844,alberta.a,Alberta,Hilda 662S,AB_662S_GSS,138,2023,2023,2053,,wind_onshore,wind,100,0.09,9,0.33,289.08,20,20,5,21.5,4.65116,http://www.hilda-wind.com/about-the-project/,
Jenner Wind 1,AB_JNW01_GEN,Potentia Renewables,Alberta,Jenner,50.80879,-111.075137,alberta.a,Alberta,Halsbury 306S,AB_306S_GSS,144,2023,2023,2053,,wind_onshore,wind,122,0.09,11,0.33,353.83,22,22,5.5,28.6812,4.26761,https://jennerwind.com,
Jenner Wind 2,AB_JNW02_GEN,Potentia Renewables,Alberta,Jenner,50.80879,-111.075137,alberta.a,Alberta,Halsbury 306S,AB_306S_GSS,144,2023,2023,2053,,wind_onshore,wind,71,0.09,6,0.33,206.4,13,13,5.5,16.7307,4.26761,https://jennerwind.com,AUC 22866
Jenner Wind 3,AB_JNW03_GEN,Potentia Renewables,Alberta,Jenner,50.80879,-111.075137,alberta.a,Alberta,Halsbury 306S,AB_306S_GSS,144,2023,2023,2053,,wind_onshore,wind,109,0.09,10,0.33,315.68,26,26,5.5,25.5881,4.26761,https://jennerwind.com,AUC 22866
Kettles Hill,AB_KHW01_GEN,Kettles Hill Wind Energy,Alberta,Pincher Creek,49.515876,-113.821774,alberta.a,Alberta,Kettle's Hill 383S,AB_383S_GSS,144,2007,2007,2037,,wind_onshore,wind,63,0.09,6,0.33,182.12,35,35,1.8,16,3.9375,,project area estimated
Lanfine North,AB_LFN01_GEN,Pattern Energy,Alberta,Oyen,51.320826,-110.566873,alberta.a,Alberta,Buffalo Bird 601S,AB_601S_GSS,144,2023,2023,2053,,wind_onshore,wind,146,0.09,13,0.33,422.63,34,34,4.3,58.3,2.50772,https://patternenergy.com/projects/lanfine-wind/,AUC 26832
Lanfine South,AB_LFS01_GEN,Pattern Energy,Alberta,Oyen,51.320826,-110.566873,alberta.a,Alberta,Buffalo Bird 601S,AB_601S_GSS,144,2024,2024,2054,,wind_onshore,wind,130,0.09,12,0.33,374.65,36,36,4.3,58.9,2.20034,https://patternenergy.com/projects/lanfine-wind/,AUC 26832
Macleod Flats,AB_MAC01_GEN,TransAlta Corporation,Alberta,Fort Macleod,49.686779,-113.475225,alberta.a,Alberta,Fort Macleod 15S,AB_15S_GSS,138,2004,2004,2034,,wind_onshore,wind,3,0.09,0,0.33,8.67,1,1,3,0.64,4.6875,https://transalta.com/plants-operation/macleod-flats/,project area estimated
Magrath,AB_SCR02_GEN,Suncor/EHN/Enbridge,Alberta,Magrath,49.385938,-112.948785,alberta.a,Alberta,Magrath 225S,AB_225S_GSS,138,2004,2004,2034,,wind_onshore,wind,30,0.09,3,0.33,86.72,20,20,1.5,10.2,2.94118,https://www.acciona.ca/projects/energy/wind-power/magrath-wind-farm/?_adin=02021864894,project area estimated
McBride Lake,AB_AKE01_GEN,ENMAX / Transalta,Alberta,Fort Macleod,49.612278,-113.481525,alberta.a,Alberta,Mcbride Lake 240S,AB_240S_GSS,144,2002,2002,2032,,wind_onshore,wind,75,0.09,7,0.33,216.81,114,114,0.66,35.75,2.0979,https://www.transalta.com/plants-operation/mcbride-lake/,project area estimated
McLaughlin,AB_MGL01_GEN,Renewable Energy Systems Canada Inc.,Alberta,Pincher Creek,49.481067,-113.834757,alberta.a,Alberta,McLaughlin 423S,AB_423S_GSS,138,2023,2023,2053,,wind_onshore,wind,46,0.09,4,0.33,133.55,11,11,4.2,3.9,11.8462,https://www.aeso.ca/grid/projects/mclaughlin-wind-power-plant-connection/,
Oldman Wind,AB_OWF01_GEN,Oldman 2 Wind Farm Limited,Alberta,Pincher Creek,49.570772,-113.853445,alberta.a,Alberta,Windy Point 112S,AB_112S_DSS,144,2013,2013,2043,,wind_onshore,wind,47,0.09,4,0.33,135.29,20,20,2.3,6.8,6.88235,,project area estimated
Rattlesnake Ridge,AB_RTL01_GEN,BHE Canada,Alberta,Whitla,49.843943,-111.04279,alberta.a,Alberta,Burdett 368S,AB_368S_GSS,138,2022,2022,2052,,wind_onshore,wind,118,0.09,11,0.33,339.96,28,28,4.2,31.7,3.70978,http://www.rattlesnakeridgewind.com/about-the-project/project-details/,AUC 25018
Riverview,AB_RIV01_GEN,Enel,Alberta,Pincher Creek,49.556114,-113.962954,alberta.a,Alberta,Castle Rock Ridge 205S,AB_205S_GSS,240,2019,2019,2049,,wind_onshore,wind,118,0.09,11,0.33,339.96,28,28,4.2,11.3,10.4071,,
Sharp Hills,AB_SPH01_GEN,EDP Renewables,Alberta,Oyen,51.688635,-110.580971,alberta.a,Alberta,New Bridgen 2088S,AB_2088S_GSS,240,2023,2023,2053,,wind_onshore,wind,298,0.09,27,0.33,861.46,67,67,4.5,165.76,1.79778,https://www.edpr.com/north-america/sharp-hills-wind-farm,AUC 26877
Sinnott,AB_SIN01_GEN,TransAlta Corporation,Alberta,Pincher Creek,49.532454,-113.977348,alberta.a,Alberta,Pincher Creek 396S,AB_396S_DSS,138,2014,2014,2044,,wind_onshore,wind,7,0.09,1,0.33,18.79,5,5,1.3,10,0.65,https://www.transalta.com/plants-operation/sinnott/,project area estimated
Soderglen,AB_GWW01_GEN,TransAlta Corporation,Alberta,Fort Macleod,49.538451,-113.523146,alberta.a,Alberta,Soderglen 243S,AB_243S_GSS,144,2006,2006,2036,,wind_onshore,wind,70,0.09,6,0.33,202.36,47,47,1.5,16.2,4.32099,https://transalta.com/plants-operation/soderglen/,project area estimated
Stirling I,AB_STL01_GEN,Potentia Renewables,Alberta,Stirling,49.565546,-112.364232,alberta.a,Alberta,Red Coat 967S,AB_967S_GSS,144,2024,2024,2054,,wind_onshore,wind,115,0.09,10,0.33,332.44,23,23,5,28,4.10714,https://stirlingwind.com,
Stirling II,AB_STL02_GEN,Potentia Renewables,Alberta,Stirling,49.565546,-112.364232,alberta.a,Alberta,Red Coat 967S,AB_967S_GSS,144,2024,2024,2054,,wind_onshore,wind,25,0.09,2,0.33,72.27,5,5,5,6.5,3.84615,https://stirlingwind.com,
Summerview 1,AB_IEW01_GEN,TransAlta Corporation,Alberta,Pincher Creek,49.5829,-113.793117,alberta.a,Alberta,Summerview 354S,AB_354S_GSS,144,2004,2004,2034,,wind_onshore,wind,68,0.09,6,0.33,196.57,38,38,1.8,12.28,5.53746,https://www.transalta.com/plants-operation/summerview/,combines two phases
Summerview 2,AB_IEW02_GEN,TransAlta Corporation,Alberta,Pincher Creek,49.5829,-113.793117,alberta.a,Alberta,Summerview 354S,AB_354S_GSS,144,2004,2004,2034,,wind_onshore,wind,66,0.09,6,0.33,190.79,22,22,3,12,5.5,https://www.transaltarenewables.com/plants-operation/summerview-2/,combines two phases
Taber,AB_TAB01_GEN,Enmax Green Power Inc,Alberta,Taber,49.71836,-111.926566,alberta.a,Alberta,Taber Wind Farm 134S,AB_134S_GSS,144,2006,2006,2036,,wind_onshore,wind,80,0.09,7,0.33,231.26,37,37,2.3,45,1.77778,https://www.enmax.com/generation-wires/generation/wind-power,project area estimated
Waterton Wind,AB_WTW00_GEN,TransAlta Corporation,Alberta,Cardston County,49.189669,-113.680555,alberta.a,Alberta,Pincher Creek 396S,AB_396S_DSS,138,2014,2014,2044,,wind_onshore,wind,4,0.09,0,0.33,11.27,6,6,0.6,18,0.216667,https://transalta.com/plants-operation/waterton/,project area estimated
Wheatland,AB_WHL01_GEN,Potentia Renewables / Greengate,Alberta,Dorothy,51.231405,-112.407855,alberta.a,Alberta,Badlands 981S,AB_981S_GSS,138,2023,2023,2053,,wind_onshore,wind,120,0.09,11,0.33,346.9,24,24,5,39.5,3.03797,https://wheatlandwind.com,
Whitla 1,AB_WHT01_GEN,Capital Power,Alberta,Etzikom,49.551901,-111.07698,alberta.a,Alberta,Shamrock 1018S,AB_1018S_DSS,240,2019,2019,2049,,wind_onshore,wind,202,0.09,18,0.33,582.79,56,56,3.6,77.2521,2.60964,https://www.capitalpower.com/operations/whitla-wind-3/,
Whitla 2,AB_WHT02_GEN,Capital Power,Alberta,Etzikom,49.551901,-111.07698,alberta.a,Alberta,Shamrock 1018S,AB_1018S_DSS,240,2022,2022,2052,,wind_onshore,wind,97,0.09,9,0.33,280.41,27,27,3.6,37.0963,2.61481,https://www.capitalpower.com/operations/whitla-wind-2/,
Whitla 3,AB_WHT03_GEN,Capital Power,Alberta,Etzikom,49.551901,-111.07698,alberta.a,Alberta,Shamrock 1018S,AB_1018S_DSS,240,2023,2023,2053,,wind_onshore,wind,54,0.09,5,0.33,156.1,15,15,3.6,20.6516,2.61481,https://www.capitalpower.com/operations/whitla-wind-3/,
Wild Rose 1,AB_WRS01_GEN,NaturEner,Alberta,Irvine,49.997887,-110.423876,alberta.a,Alberta,Whitla 251S,AB_251S_DSS,240,2023,2023,2053,,wind_onshore,wind,218,0.09,20,0.33,630.19,68,68,3.2,49.5,4.40404,https://majorprojects.alberta.ca/details/Wild-Rose-1-Wind-Farm/2005,
Wild Rose 2,AB_WRS02_GEN,NaturEner,Alberta,Irvine,49.997887,-110.423876,alberta.a,Alberta,Whitla 251S,AB_251S_DSS,240,2023,2023,2053,,wind_onshore,wind,192,0.09,17,0.33,555.03,60,60,3.2,82.23,2.33491,https://www.capstoneinfrastructure.com/our-businesses/in-development/wild-rose-2-wind-project,
Windrise,AB_WRI01_GEN,TransAlta Corporation,Alberta,Pincher Creek,49.485882,-113.454205,alberta.a,Alberta,Windy Flats 138S,AB_138S_DSS,240,2023,2023,2053,,wind_onshore,wind,206,0.09,19,0.33,596.66,43,43,4.8,45.7,4.51641,https://www.transalta.com/facilities/plants-operation/windrise/,AUC 24699
Winnifred,AB_WNF01_GEN,Enerfin Energy Company,Alberta,Whitla,49.93937,-111.050102,alberta.a,Alberta,Holsom 1054S,AB_1054S_GSS,138,2023,2023,2053,,wind_onshore,wind,122,0.09,11,0.33,353.54,22,22,5.56,30.1,4.06312,https://www.winnifredwindproject.ca,
Wintering Hills,AB_SCR04_GEN,Suncor Energy Products Inc.,Alberta,Wheatland County,51.221363,-112.577882,alberta.a,Alberta,Wheatland 609S,AB_609S_DSS,138,2011,2011,2041,,wind_onshore,wind,88,0.09,8,0.33,254.39,55,55,1.6,64.8,1.35802,,project area estimated
